product_name,specs,price,brand,category,image_array
"PC IDEACENTER 3-7DID + MONITOR L22-40 21.45""",I3 12100/4GB/256/DOS/1Y/CLOUD GREY,7500,Lenovo,komputer,
"PC IDEACENTER 3-A8ID + MONITOR L22-40 21.45""",I3 13100/4GB/256/W11+OHS21/1Y/CLOUD GREY,8270,Lenovo,komputer,
"PC IDEACENTER 5-1VID + MONITOR L22-40 21.45""",I5 13400/8GB/512/W11+OHS21/1Y/CLOUD GREY,10790,Lenovo,komputer,
AIO 3-1FID,"Celeron 7305/8GB/256/W11+OHS21/21.5""FHD IPS/1Y/BLACK",5945,Lenovo,komputer,
AIO 3-50ID,"I3 1215/8GB/256/W11+OHS21/21.5""FHD IPS/1Y/WHITE",7395,Lenovo,komputer,
AIO 3-2UID,"I5 12450/8GB/512/W11+OHS21/21.5""FHD IPS/1Y/BLACK",9400,Lenovo,komputer,
AIO 3-7PID,"I7 13620H/8GB/512/W11+OHS/23.8""FHD IPS/1Y/LUNA GREY",14300,Lenovo,komputer,
IP 1-A6ID,"ATHLON SILVER 7120/8GB/256/W11+OHS21/14""/CLOUD GREY",5020,Lenovo,laptop,
IP 1-6UID,"ATHLON SILVER 7120/8GB/512/W11+OHS21/14""/CLOUD GREY",5320,Lenovo,laptop,
IP 1-9PID,"N4020/8GB/256/W11+OHS21/14""/2Y/GREY",4295,Lenovo,laptop,
IP 1-8BID,"N4020/8GB/512/W11+OHS21/14""/2Y/GREY",4595,Lenovo,laptop,
V14-MEID 4GB,"I3 1215U/4GB/256/W11/14""FHD/2Y/GREY",5250,Lenovo,laptop,
V14-MEID 8GB,"I3 1215U/8GB/256/W11/14""FHD/2Y/GREY",5475,Lenovo,laptop,
V14-HVID,"I3 1215U/8GB/512/DOS/14""FHD/2Y/GREY",5750,Lenovo,laptop,
V14-CHID,"I5 13420H/8GB/512/W11+OHS21/14""FHD IPS/2Y/GREY",8540,Lenovo,laptop,
V14-V7ID,"R3 7320/8GB/256/W11+OHS21/14""FHD/2Y/ARCTIC GREY",5595,Lenovo,laptop,
V14-13ID,"R5 7430/8GB/512/W11+OHS21/14""FHD/2Y/GREY",7500,Lenovo,laptop,
IP 3-CVID 256,"I3 1215U/8GB/256/W11+OHS21/14""FHD/BL/ARCTIC GREY",5745,Lenovo,laptop,
IP 3-FQID 256,"I3 1215U/8GB/256/W11+OHS21/14""FHD/BL/ARCTIC GREY",5745,Lenovo,laptop,
IP 3-FRID 256,"I3 1215U/8GB/256/W11+OHS21/14""FHD/BL/ABYSS BLUE",5745,Lenovo,laptop,
IP 3-CXID,"I3 1215U/8GB/512/W11+OHS21/14""FHD/BL/MISTY BLUE",6145,Lenovo,laptop,
IP 3-CYID ,"I3 1215U/8GB/512/W11+OHS21/14""FHD/BL/ARCTIC GREY",6145,Lenovo,laptop,
IP 3-D0ID ,"I3 1215U/8GB/512/W11+OHS21/14""FHD/BL/ABYSS BLUE",6145,Lenovo,laptop,
IP 3-2CID,"Intel Core 3 100U/8GB/512/W11+OHS21/14""FHD IPS/BL/ABYSS BLUE",7795,Lenovo,laptop,
IP 3-2DID,"Intel Core 3 100U/8GB/512/W11+OHS21/14""FHD IPS/BL/ARCTIC GREY",7795,Lenovo,laptop,
IP 3-5AID (CI5) PROCESOR GAMING !!,"I5 12450H/8GB/512/W11+OHS21/14""FHD IPS/BL/ARCTIC GREY",7845,Lenovo,laptop,
IP 3-6YID  (CI5) PROCESOR GAMING !!,"I5 12450H/8GB/512/W11+OHS21/14""FHD IPS/BL/ABYSS BLUE",7845,Lenovo,laptop,
IP 3-6GID,"I5 12450H/16GB/512/W11+OHS21/14""FHD IPS/BL/ABYSS BLUE",8445,Lenovo,laptop,
IP 3-6HID,"I5 12450H/16GB/512/W11+OHS21/14""FHD IPS/BL/ARCTIC GREY",8445,Lenovo,laptop,
IP 5-5TID OLED,"Intel Core Ultra 5 125H/16GB/512/W11+OHS21/14""WUXGA OLED/BL/ABYSS BLUE",11895,Lenovo,laptop,
IP 5-7RID OLED,"Intel Core Ultra 5 125H/16GB/512/W11+OHS21/14""WUXGA OLED/BL/ABYSS BLUE",11895,Lenovo,laptop,
IP 5-7QID OLED,"Intel Core Ultra 5 125H/16GB/512/W11+OHS21/14""WUXGA OLED/BL/CLOUD GREY",11895,Lenovo,laptop,
IP 3-2AID,"I7 13620H/16GB/512/W11+OHS21/14""FHD IPS/BL/ABYSS BLUE",10895,Lenovo,laptop,
IP 3-2BID,"I7 13620H/16GB/512/W11+OHS21/14""FHD IPS/BL/ARCTIC GREY",10895,Lenovo,laptop,
IP 5-9PID,"I7 13620H/16GB/512/W11+OHS21/14""WUXGA OLED/BL/ABYSS BLUE",13345,Lenovo,laptop,
IP 5-9QID,"I7 13620H/16GB/512/W11+OHS21/14""WUXGA OLED/BL/CLOUD GREY",13345,Lenovo,laptop,
IP 5-5UID OLED,"Intel Core Ultra 7 155H/16GB/512/W11+OHS21/14""WUXGA OLED/BL/ABYSS BLUE",13595,Lenovo,laptop,
IP 5-7TID OLED,"Intel Core Ultra 7 155H/16GB/512/W11+OHS21/14""WUXGA OLED/BL/CLOUD GREY",13595,Lenovo,laptop,
IP 5-8JID 2 IN 1 CORE 3,"Intel Core 3 100U/8GB/512/W11+OHS21/14""WUXGA IPS/TOUCH/FLIP/PEN/BL/LUNA GREY",9895,Lenovo,laptop,
IP 5-8KID 2 IN 1 CORE 3,"Intel Core 3 100U/8GB/512/W11+OHS21/14""WUXGA IPS/TOUCH/FLIP/PEN/BL/COSMIC BLUE",9895,Lenovo,laptop,
IP 3-2EID,"Intel Core 5 120U/16GB/512/W11+OHS21/14""FHD IPS/BL/ABYSS BLUE",9745,Lenovo,laptop,
IP 3-2GID,"Intel Core 5 120U/16GB/512/W11+OHS21/14""FHD IPS/BL/ARCTIC GREY",9745,Lenovo,laptop,
IP 5-0YID 2 IN 1 CI5,"I5 13420H/16GB/512/W11+OHS21/14""WUXGA IPS/TOUCH/FLIP/PEN/BL/COSMIC BLUE",11845,Lenovo,laptop,
IP 5-10ID 2 IN 1 CI5,"I5 13420H/16GB/512/W11+OHS21/14""WUXGA IPS/TOUCH/FLIP/PEN/BL/LUNA GREY",11845,Lenovo,laptop,
IP 5-7LID 2 IN 1 CORE 5 OLED,"Intel Core 5 120U/16GB/512/W11+OHS21/14""WUXGA OLED/TOUCH/FLIP/PEN/BL/COSMIC BLUE",12795,Lenovo,laptop,
IP 5-7MID 2 IN 1 CORE 5 OLED,"Intel Core 5 120U/16GB/512/W11+OHS21/14""WUXGA OLED/TOUCH/FLIP/PEN/BL/LUNA GREY",12795,Lenovo,laptop,
IP 5-11ID 2 IN 1 CORE 7,"I7 13620H/16GB/512/W11+OHS21/14""WUXGA OLED/TOUCH/FLIP/PEN/COSMIC BLUE",14345,Lenovo,laptop,
IP 5-12ID 2 IN 1 CORE 7,"I7 13620H/16GB/512/W11+OHS21/14""WUXGA OLED/TOUCH/FLIP/PEN/BL/LUNA GREY",14345,Lenovo,laptop,
IP 5-0DID 2 IN 1 CORE 7 OLED,"Intel Core 7 150U/16GB/512/W11+OHS21/14""WUXGA OLED/TOUCH/FLIP/PEN/BL/LUNA GREY",14545,Lenovo,laptop,
IP 5-7NID  2 IN 1 CORE 7 OLED,"Intel Core 7 150U/16GB/512/W11+OHS21/14""WUXGA OLED/TOUCH/FLIP/PEN/BL/LUNA GREY",14545,Lenovo,laptop,
IP 5-7PID 2 IN 1 CORE 7 OLED,"Intel Core 7 150U/16GB/512/W11+OHS21/14""WUXGA OLED/TOUCH/FLIP/PEN/BL/COSMIC BLUE",14545,Lenovo,laptop,
IP DUET 3-2XID LEPASAN,"INTEL N200/8GB/256/W11+OHS21/11.5""2K IPS/TOUCH/LEPASAN/ABYSS BLUE",8795,Lenovo,laptop,
IP DUET 5-4MID LEPASAN,"I5 1335U/16GB/512/W11+OHS21/12.4"" 2.5K/TOUCH/PEN/LEPASAN/BL/STORM GREY",14950,Lenovo,laptop,
IP 3-6RID,"R3 7320U/8GB/512/W11+OHS21/14""FHD/BL/ABYSS BLUE",6195,Lenovo,laptop,
FLEX 5-HNID,"R5 5500/8GB/512/W11+OHS21/14""WUXGA IPS/TOUCH/FLIP/PEN/BL/STORM GREY",9945,Lenovo,laptop,
IP 1-9LID,"R5 5625/16GB/512/W11+OHS21/14""FHD/CLOUD GREY",7295,Lenovo,laptop,
IP 3-04ID,"R5 7530/8GB/512/W11+OHS21/14""FHD IPS/BL/ABYSS BLUE",7945,Lenovo,laptop,
IP 3-05ID,"R5 7530/8GB/512/W11+OHS21/14""FHD IPS/BL/ARCTIC GREY",7945,Lenovo,laptop,
IP 3-7BID,"R5 7530/8GB/512/W11+OHS21/14""FHD IPS/BL/ARCTIC GREY",7945,Lenovo,laptop,
IP 3-7CID,"R5 7530/8GB/512/W11+OHS21/14""FHD IPS/BL/ABYSS BLUE",7945,Lenovo,laptop,
IP 5-0AID 2 IN 1 R5,"R5 8645HS/16GB/512/W11+OHS21/14""WUXGA IPS/TOUCH/FLIP/PEN/BL/COSMIC BLUE",11195,Lenovo,laptop,
IP 5-0BID 2 IN 1 R5,"R5 8645HS/16GB/512/W11+OHS21/14""WUXGA IPS/TOUCH/FLIP/PEN/BL/LUNA GREY",11195,Lenovo,laptop,
IP 5-9UID,"R7 7730/16GB/512/W11+OHS21/14""WUXGA OLED/BL/CLOUD GREY",11245,Lenovo,laptop,
IP 5-9VID,"R7 7730/16GB/512/W11+OHS21/14""WUXGA OLED/BL/ABYSS BLUE",11245,Lenovo,laptop,
IP 5-0LID 13 INCH,"R7 7735HS/16GB/512/W11+OHS21/13.3""WUXGA IPS/100%sRGB/BL/CLOUD GREY",11345,Lenovo,laptop,
IP 5-0CID 2 IN 1 R7,"R7 8845HS/16GB/512/W11+OHS21/14""WUXGA IPS/TOUCH/FLIP/PEN/BL/LUNA GREY",12295,Lenovo,laptop,
IP 5-0DID 2 IN 1 R7,"R7 8845HS/16GB/512/W11+OHS21/14""WUXGA IPS/TOUCH/FLIP/PEN/BL/COSMIC BLUE",12295,Lenovo,laptop,
IP 5-1KID 2 IN 1,"Snapdragon X Plus X1P-42-100/16GB/512/W11+OHS21/14""WUXGA OLED/TOUCH/FLIP/PEN/BL/LUNA GREY",13745,Lenovo,laptop,
THINKBOOK 14S YOGA-8SID,"I5 1135G7/8GB/512/W11+OHS21/14""FHD IPS/100%sRGB/TOUCH/FLIP/PEN/BL/ABYSS BLUE",11000,Lenovo,laptop,
YOGA SLIM 7X-10ID,"Snapdragon X Elite X1E-78-100 12C/32GB/SSD 1TB/W11+OHS21/14.5"" 3K OLED/100%sRGB/TOUCH/BL/COSMIC BLUE",23500,Lenovo,laptop,
YOGA 7-0WID,"Intel Core Ultra 5 125H/16GB/512/W11+OHS21/14""WUXGA OLED/TOUCH/FLIP/PEN/BL/SLEEVECASE INBOX/TIDAL TEAL",15995,Lenovo,laptop,
YOGA 7-0XID,"Intel Core Ultra 7 155H/16GB/SSD 1TB/W11+OHS21/14"" 2.8K OLED/TOUCH/FLIP/PEN/BL/SLEEVECASE INBOX/TIDAL TEAL",19595,Lenovo,laptop,
YOGA 7-81ID,"Intel Core Ultra 7 155H/32GB/SSD 1TB/W11+OHS21/14"" 2.8K OLED/TOUCH/FLIP/PEN/BL/SLEEVECASE INBOX/TIDAL TEAL",20995,Lenovo,laptop,
YOGA SLIM 7-04ID,"Intel Core Ultra 7 155H/16GB/SSD 1TB/W11+OHS21/14""WUXGA OLED/TOUCH/BL/LUNA GREY",16795,Lenovo,laptop,
YOGA PRO 7-14ID VGA,"Intel Core Ultra 7 155H/32GB/SSD 1TB/RTX4050 6GB/W11+OHS21/14.5"" 2.8K OLED/BL/LUNA GREY",23295,Lenovo,laptop,
YOGA PRO 7-15ID VGA,"Intel Core Ultra 9 185H/32GB/SSD 1TB/RTX4060 8GB/W11+OHS21/14.5"" 3K IPS/100%sRGB/TOUCH/BL/LUNA GREY",27995,Lenovo,laptop,
YOGA BOOK 9-0GID,"Intel Core Ultra 7 155U/32GB/SSD 1TB/W11+OHS21/2x 13.3"" 2.8K OLED/TOUCH/PEN/TIDAL TEAL",30795,Lenovo,laptop,
YOGA 7-0UID,"R5 8640HS/16GB/512/W11+OHS21/14""WUXGA OLED/TOUCH/FLIP/PEN/BL/SLEEVECASE INBOX/ARCTIC GREY",14195,Lenovo,laptop,
YOGA 7-0TID,"R7 8840HS/16GB/SSD 1TB/W11+OHS21/14""WUXGA OLED/TOUCH/FLIP/PEN/BL/SLEEVECASE INBOX/ARCTIC GREY",16295,Lenovo,laptop,
YOGA PRO 7-06ID VGA,"R7 8845HS/16GB/SSD 1TB/RTX 3050 6GB/W11+OHS21/14.5"" 2.5K IPS/100%sRGB/TOUCH/BL/LUNA GREY",18395,Lenovo,laptop,
GAMING LOQ 15-1HID,"I5 12450HX/12GB/512/RTX2050 4GB/W11+OHS21/15.6""FHD/100%sRGB/BL/LUNA GREY",10545,Lenovo,laptop,
GAMING LOQ 15-2QID,"I5 12450HX/12GB/512/RTX2050 4GB/W11+OHS21/15.6""FHD IPS/100%sRGB/WHITE BL/BAREBONE ESSENTIAL/LUNA GREY",10095,Lenovo,laptop,
GAMING LOQ 15-1JID,"I5 12450HX/12GB/512/RTX3050 6GB/W11+OHS21/15.6""FHD/100%sRGB/BL/LUNA GREY",11745,Lenovo,laptop,
GAMING LOQ 15-A8ID,"I5 13450HX/12GB/512/RTX3050 6GB/W11+OHS21/15.6""FHD IPS/100%sRGB/BL 4-ZONE RGB/LUNA GREY",12645,Lenovo,laptop,
GAMING LOQ 15-AAID,"I5 13450HX/12GB/512/RTX4050 6GB/W11+OHS21/15.6""FHD IPS/100%sRGB/BL 4-ZONE RGB/LUNA GREY",14295,Lenovo,laptop,
GAMING LOQ 15-A9ID,"I7 13650HX/12GB/512/RTX3050 6GB/W11+OHS21/15.6""FHD/100%sRGB/BL 4-ZONE RGB/LUNA GREY",14395,Lenovo,laptop,
GAMING LOQ 15-AHID,"I7 13650HX/12GB/512/RTX4050 6GB/W11+OHS21/15.6""FHD/100%sRGB/BL 4-ZONE RGB/LUNA GREY",16245,Lenovo,laptop,
GAMING LOQ 15-AGID,"I7 13650HX/12GB/512/RTX4060 8GB/W11+OHS21/15.6""FHD/100%sRGB/BL 4-ZONE RGB/LUNA GREY",18745,Lenovo,laptop,
GAMING LOQ 15-37ID,"R5 8645HS/8GB/512/RTX4050 6GB/W11+OHS21/15.6""FHD IPS/100%sRGB/BL 4-ZONE RGB/LUNA GREY",14395,Lenovo,laptop,
GAMING LOQ 15-1YID,"R7 7435HS/12GB/512/RTX4060 8GB/W11+OHS21/15.6""FHD IPS/100%sRGB/BL/LUNA GREY",15545,Lenovo,laptop,
GAMING LOQ 15-38ID,"R7 8845HS/8GB/512/RTX4050 6GB/W11+OHS21/15.6""FHD IPS/100%sRGB/4-ZONE RGB BL/LUNA GREY",15945,Lenovo,laptop,
LEGION 5-0BID,"I7 13650HX/24GB/512/RTX4060 8GB/W11+OHS21/15.6""FHD IPS/100%sRGB/WHITE BL/STORM GREY",21245,Lenovo,laptop,
LEGION 5-BWID,"I7 14650HX/16GB/512/RTX4050 6GB/W11+OHS21/16""WQXGA IPS/100%sRGB/BL 4-ZONE RGB/LUNA GREY",21245,Lenovo,laptop,
LEGION 7-07ID,"I7 14700HX/16GB/SSD 1TB/RTX4060 8GB/W11+OHS21/16""3.2K IPS/PER-KEY RGB BL/ECLIPSE BLACK",28995,Lenovo,laptop,
LEGION 5 PRO-3MID,"I9 14900HX/32GB/SSD 1TB/RTX4070 8GB/W11+OHS21/16""WQXGA IPS/4-ZONE RGB BL/ONYX GREY",32395,Lenovo,laptop,
LEGION GO-4QID,"Ryzen Z1 EXTREME/16GB DDR5/SSD 1TB/RADEON/W11/8.8""WQXGA IPS 144HZ/GORILLA GLASS 5/TOUCH/3Y/SHADOW BLACK",13000,Lenovo,laptop,
HP AIO PC 22-DG0005D ,"I3 N300/8GB/512/W11+OHS21/21.5""FHD/1Y/WHITE",7395,HP,komputer,
HP AIO PC 24-CB1888D,"I3 1215U/8GB/512/W11+OHS21/23.8""FHD IPS/1Y/WHITE",8145,HP,komputer,
HP AIO PC 24-DF1001D,"I5 1135G7/8GB/512/W11+OHS21/23.8""FHD/1Y/WHITE",9650,HP,komputer,
HP AIO PC 24-CB1015D,"I5 1235/8GB/512/W11+OHS21/23.8""FHD IPS/1Y/WHITE",10400,HP,komputer,
HP AIO PC 24-CB1999D,"I5 1235/8GB/SSD 1TB/W11+OHS21/23.8""FHD/1Y/WHITE",11000,HP,komputer,
HP AIO 24-CR1123D,"Intel Ultra 5 125U/16GB/512/W11+OHS21/23.8""FHD/1Y/WHITE",12950,HP,komputer,
HP 245 G10 3Y,"R3 7320/8GB/256/W11/14""FHD/FP/3Y/SILVER/NEW BODY",5600,HP,laptop,
HP 245 G8 R5 512GB TERMURAH !!,"R5 5500/8GB/512/W11/14""/1Y/BLACK",6350,HP,laptop,
HP 14-FQ1009AU,"R3 5300/8GB/512/W11+OHS21/14""FHD IPS/BL/SILVER",5645,HP,laptop,
HP 14-FQ1011AU,"R3 5300/8GB/512/W11+OHS21/14""FHD IPS/BL/GOLD",5645,HP,laptop,
HP 14-EM0332AU,"R3 7320/8GB/512/W11+OHS21/14""FHD IPS/BL/GOLD",6020,HP,laptop,
HP 14-EM0333AU,"R3 7320/8GB/512/W11+OHS21/14""FHD IPS/BL/SILVER",6020,HP,laptop,
HP 14-FQ1135AU,"R5 5500/8GB/512/W11+OHS21/14""FHD IPS/BL/SILVER",6650,HP,laptop,
HP 14-EM0018AU,"R5 7530/8GB/512/W11+OHS21/14""FHD/BL/SILVER",7595,HP,laptop,
HP 14-EM0019AU,"R5 7530/8GB/512/W11+OHS21/14""FHD/BL/GOLD",7645,HP,laptop,
HP 14-EM0167AU,"R7 7730/16GB/512/W11+OHS21/14""FHD/BL/GOLD",10545,HP,laptop,
HP 14-EM0168AU,"R7 7730/16GB/512/W11+OHS21/14""FHD/BL/SILVER",10545,HP,laptop,
HP 14-DQ3133TU 4GB,"N4500/4GB/512/W11+OHS21/14""FHD/BL/SILVER",4845,HP,laptop,
HP 14-DQ3133TU 8GB,"N4500/8GB/512/W11+OHS21/14""FHD/BL/SILVER",5045,HP,laptop,
HP 14-DQ3134TU,"N4500/4GB/512/W11+OHS21/14""FHD/BL/GOLD",4845,HP,laptop,
HP 14-DQ3135TU,"N4500/4GB/512/W11+OHS21/14""FHD/BL/WHITE",4845,HP,laptop,
HP 14-DQ3888TU,"N4500/8GB/512/W11+OHS21/14""FHD/BL/SILVER",5045,HP,laptop,
HP 14-DQ5115TU 4GB,"I3 1215U/4GB/512/W11+OHS21/14""FHD IPS/BL/SILVER",5790,HP,laptop,
HP 14-DQ5115TU 8GB,"I3 1215U/8GB/512/W11+OHS21/14""FHD IPS/BL/SILVER",6020,HP,laptop,
HP 14-DQ5127TU,"I3 1215U/8GB/512/W11+OHS21/14""FHD IPS/BL/SILVER",6095,HP,laptop,
HP 14-EP0555TU,"I3 1215U/8GB/512/W11+OHS21/14""FHD/BL/MOUSE Z3700/SILVER",6645,HP,laptop,
HP 14-DQ5153TU,"I5 1235U/8GB/256/W11+OHS21/14""FHD IPS/BL/SILVER",7695,HP,laptop,
HP 14-DQ5227TU,"I5 1235U/8GB/512/W11+OHS21/14""FHD IPS/BL/SILVER",8095,HP,laptop,
HP 14-DQ5156TU,"I5 1235U/16GB/512/W11+OHS21/14"" FHD/BL/SILVER",8495,HP,laptop,
HP 14-EP0001TU,"I5 1335U/8GB/512/W11+OHS21/14""FHD IPS/BL/SILVER",8495,HP,laptop,
HP 14-EP0002TU,"I5 1335U/8GB/512/W11+OHS21/14""FHD IPS/BL/BLUE",8495,HP,laptop,
HP 15-FD0031TX VGA,"I5 1334U/8GB/512/MX507A 2GB/W11+OHS21/15.6""FHD/BL/SILVER",11440,HP,laptop,
HP 15-FD0032TX VGA,"I5 1334U/8GB/512/MX507A 2GB/W11+OHS21/15.6""FHD/BL/BLUE",11390,HP,laptop,
HP 14-DQ5155TU,"I7 1255U/8GB/512/W11+OHS21/14""FHD IPS/BL/FP/SILVER",10445,HP,laptop,
HP 14-DQ5154TU,"I7 1255U/16GB/512/W11+OHS21/14""FHD IPS/BL/SILVER",10845,HP,laptop,
HP 14-EP0018TU,"I7 1355U/16GB/512/W11+OHS21/14""FHD IPS/BL/BLUE",12245,HP,laptop,
HP 14-EP0019TU,"I7 1355U/16GB/512/W11+OHS21/14""FHD IPS/BL/SILVER",12345,HP,laptop,
HP 14-EP0022TU,"I7 1360P/16GB/512/W11+OHS21/14""FHD IPS/BL/FP/SILVER",12545,HP,laptop,
HP 15-FD1555TU,"Intel Core Ultra 7 155H/16GB/512/W11+OHS21/15.6""FHD IPS/BL/NUMPAD/BLUE",12740,HP,laptop,
HP 15-FD1777TU,"Intel Core Ultra 7 155H/16GB/512/W11+OHS21/15.6""FHD IPS/BL/NUMPAD/SILVER",12740,HP,laptop,
HP 15-FD0888TX VGA,"I7 1355U/16GB/512/MX570A 2GB/W11+OHS21/15.6""FHD IPS/BL/BLUE",13795,HP,laptop,
HP 15-FD0999TX VGA,"I7 1355U/16GB/512/MX570A 2GB/W11+OHS21/15.6""FHD IPS/BL/SILVER",13695,HP,laptop,
HP Pavilion Aero 13-BG0111AU 999 GRAM,"R5 8640U/16GB/512/W11+OHS21/13.3""WUXGA IPS/BL/SILVER",13095,HP,laptop,
HP Pavilion Aero 13-BG0222AU  999 GRAM,"R5 8640U/16GB/512/W11+OHS21/13.3""WUXGA IPS/BL/BLUE",13095,HP,laptop,
HP Pavilion Aero 13-BG0777AU  999 GRAM,"R7 8840U/16GB/SSD 1TB/W11+OHS21/13.3""WUXGA IPS/BL/SILVER",14295,HP,laptop,
HP Pavilion Aero 13-BG0888AU  999 GRAM,"R7 8840U/16GB/SSD 1TB/W11+OHS21/13.3""WUXGA IPS/BL/BLUE",14295,HP,laptop,
HP Pavilion PLUS 14-EY0016AU ,"R5 7540/16GB/512 GB/W11+OHS21/14"" WUXGA IPS/BL/FP/SILVER",10690,HP,laptop,
